processed_text,label
indiafightscorona india reports recoveries rd successive day total recovered cases close lakh highest world indias recovery rate crosses landmark staysafe indiawillwin URL,real
continuing good news daily reported deaths continue fall today day average held steady URL,real
people currently hospital one auckland city middlemore north shore hospitals none icu still significant clusters clusters closed still level need keep working learning home,real
ncdc directly contacted twitter user mentioned friend returned uk runny nose could reach authorities testing within hours communication us via dm sample collected committed best URL,real
indias confirmed case count crosses ten lakh maintaining position thirdworst affected country world indias first potential coronavirus vaccine bharat biotechs covaxin begins human trials pgi rohtak today coronavirus coronavirusfacts URL,fake
vitamin help reduce coronavirus risk URL,fake
country recommendation managing acute ischemic stroke covid URL URL,real
idaho statesman situation idahos statelevel access hospital data recent hospital data entered yesterday though reflects standard lag id data point URL,real
coronavirus like broken leg URL,fake
hands one primary ways infectious diseases like covid spread takeresponsibility wash hands frequently soap running water seconds remember teach loved ones around importance proper hand hygiene URL,real
total deaths remain highest northeast nearly certainly substantial undercount new york reports deaths within longterm care facilities linked facilities occurring hospitals URL,real
iranians published report saying coronavirus biological warfare,fake
banner swastika trump pence michigan coronavirus protest,fake
coronavirusupdates roundpushpintotal covid cases india august playbutton cureddischargedmigrated playbutton active cases playbutton deaths total covid confirmed cases cureddischargedmigratedactive casesdeaths via USER URL,real
today covid positive cases shivamogga district karnataka URL covid covid covid covid covidindia covidupdates coronavirus coronaupdates coronavirusindia coronavirusupdates coronaviruspandemic URL,real
american coronavirus vaccine killed five ukrainians,fake
medical director phe dr yvonne doyle says covid flu risky situation encourages people invited flu vaccine kayburley live updates URL URL,real
megaphone coming tonight head prevention programme amp knowledge management USER tuesdaylive discuss covidnigeria tune USER dstv channel join conversation time pm URL,real
covid update new confirmed cases covid one case linked cluster auckland household contact previously reported case two imported cases total number active cases imported cases miq,real
weve made twitter list state dc public health departments united states follow accounts stay current covid URL,real
rightmove said activity aided current stamp duty holiday driven high demand gardens space work home covid disrupts daytoday life URL,real
video shows health workers turning back protest official car passes supposedly protest minister health spain salvador illa minister equality irene montero gregorio maran hospital,fake
coronavirusupdates statewise details total confirmed covid casestill august rightarrowstates confirmed cases rightarrowstates confirmed cases rightarrowstates confirmed cases rightarrowtotal confirmed cases far URL,real
world cutest baby anahita suffering corona dangerous stay home stay safe,fake
indiafightscorona india records highest ever single day recoveries today recoveries exceed active cases lakh case fatality rate touches new low URL USER USER USER USER USER,real
yesterday laboratories nationally processed tests covid bringing total number tests completed date total number confirmed cases covid number report world health organization,real
week ncdcteam conducting handson training infection prevention amp control healthcare workers primary secondary amp tertiary health facilities kwara committed strengthening ipc practices ensuring safety covid responders URL,real
observing physical distance reduces risk contact droplets infected person sneezescoughs takeresponsibility reduce risk covid spread checkmarkbuttonwearing face mask checkmarkbuttonobserving physical distance checkmarkbuttonwashing hands frequently URL,real
video says vatican confirmed pope francis two aides tested positive coronavirus,fake
news boris johnson ends lockdown immediate effect first full night spent screaming baby URL URL,fake
government media hides death coffins parking lot spain,fake
new cruise ship travel could continue introduce transmit spread covid USER extended cruise ship sail order see latest update URL URL,real
singapores health ministry issued advisory daytoday progression covid symptoms patients first nine days infection,fake
food discarded sao paulos governor decree,fake
us president donald trump called philippines president rodrigo duterte ask help solve coronavirus cant handle constituents,fake
video shows president donald trump saying covid democrats new hoax,fake
however comparing covid deaths flu deaths important make sure comparison rigorous two threads explain URL URL,real
weekend lag effect may may play deaths well see tomorrow reaching new lower plateau going see higher numbers tuesdayfriday URL,real
new zealand also good position supplies testing current stock across country sufficient enable tests,real
health insurance industry agreed waive copayments coronavirus treatments,fake
new cases covid lagos kano jigawa yobe fct ogun plateau gombe imo edo kwara borno bauchi nasarawa ondo cases covid nigeria discharged deaths URL,real
latest cdc covidview report shows people continue highest rates covidassociated hospitalizations followed people age hospitalization rates cumulative continue increase pandemic continues URL URL,real
latest cdc covidview report shows percentage people testing positive covid percent medical visits symptoms similar covid decreasing nationally learn URL URL,real
india records new covid cases second consecutive day row delhi cm arvind kejriwal announces plasma bank delhi help critically ill coronavirus patients covid coronavirusfacts URL,fake
indiafightscorona india significantly ramped diagnostic lab network higher number tests push positivity rate initially delhi experience amply shown eventually lower combined measures URL,real
yesterday labs processed tests past three days labs processed tests tests may take unto hours positive results reported promptly negative tests may take longer return thank patience,real
deaths rose today dataset note new york city reporting confirmed probable covid deaths state government city add deaths dataset count k falls cdc jhu URL,real
mum calling check dont coronavirus URL URL,fake
USER blamed past administrations flawed coronavirus test test couldnt existed new virus emerged URL URL,fake
cdc updates amp expands list risk severe covid illness older adults amp people w underlying medical conditions remain increased risk severe illness cdc defined age amp conditionrelated risks see todays statement URL URL,real
hospital beds constructed gujarat india days,fake
bollywood superstar aamir khan donated rs poor slum dwellers one kg wheat flour packets,fake
rt USER covid update backhandindexpointingrightmore total active cases affected states backhandindexpointingrightmaharashtra karnataka amp,real
industrial bleach sold amazon miracle mineral solution covid URL USER,fake
transport sec grant shapps says uk critical moment controlling spread covid adds clear weeks behind seeing europe kayburley read URL URL,real
three stories read afternoon redcircleuk records new cases highest daily figure four months URL redcircleboris johnson reveals new covid rules URL redcirclescotland bans household visits URL URL,real
number people states report hospitalized covid continues drop covid hospitalizations currently south northeast fallen URL,real
USER USER USER read people good levels vitamin less chance severe covid worth supplementing,fake
new coronavirus created chinese laboratory bill gates financed origin,fake
expired sterilized n masks get job done URL,real
cytokine storm overactivation immune system appear play major role severe covid outcomes according unexpected new findings URL,real
today active covid cases ahmedabad district gujarat URL USER USER USER USER USER covid covid covid coronaupdates coronavirusindia coronavirusupdates coronavirus covidupdates URL,real
says nba asking donald trump resign well never play,fake
new fad disease called coronavirus sweeping headlines funny enough patent coronavirus filed granted,fake
rt USER covid significant public health challenge face nation century help protect fami,real
moment halfmeasures history wont forgive us waiting hour bay area able flattenthecurve hope keep rest country safe must follow lead continue stayathome URL,real
dataset compiled hours care attention wonderful volunteers dedication belief effort brought fruition cant thank enough,real
cabinet review settings alert level june agreed later june weeks today consider move alert level covid covidnz,real
white house grants covid green card visa URL,fake
third week identified amp began contracting validated production quality pcr tests first week feb began shipping tests labs around world enabled world track amp trace covid around world quicklyUSER,real
us maintain measures contain covid long practical cdc statelocal governments also implement strategies minimize impact novel coronavirus us communities URL,real
lame coronavirus party infects people URL,fake
italys ministry health discovered covid deaths caused bacteria novel coronavirus,fake
facebook user suggests confirmed cases suspected cases covid whereas declared positive people actually novel coronavirus,fake
every election year disease coronavirus contagion factor cure rate infects,fake
bolivia approved use chlorine dioxide amid fight covid,fake
sinclair broadcast group delaying airing interview conspiracy theorist baselessly claims dr fauci created coronavirus URL,fake
indiafightscorona covid infection still remains concentrated states contribute new cases,real
latest cdc covidview report shows visits doctors offices ers illnesses symptoms compatible covid continued decline remain stable low levels likely part result widespread efforts slow spread URL URL,real
trump faints infected coronavirus,fake
science clear meharrys dr james hildreth says despite cdc backtrack covid airborne,fake
parents covid wellchild visits especially important children schedule childs routine visit healthcare provider check childs development amp provide recommended vaccines learn URL URL,real
todays update first produced team volunteers thanks everyone helped data entry today team volunteers numbers updated every hours see latest numbers states current us current tabs,real
points coronavirus tax refunds trump telling republican supporters URL donaldtrump,fake
cindy mccain joins board bidens presidential transition team URL widow distinguished us military officer would never affiliate w bidendeep ties adversary ccp stuck uslaunched bioweapon covid us soil,fake
doctor vandana tiwari part covid team killed violence uttar pradesh,fake
daily update published states reported k tests k cases death toll today lowest number since july URL,real
coronavirus everyones problem spokesperson dr margaret harris says rise covid cases due relaxation summer read URL URL,real
coronavirus cured sniffing clove camphor drinking water virus go stomach acid stomach kill virus,fake
new USER finds odds covid outbreaks west virginia nursing homes x higher low quality high quality nursing homes rated USER health depts use cms ratings identify nursing homes higher risk covid URL URL,real
president donald trump tweeted coronavirus vaccine israel stock market economy even stronger besides us israel best inventions judaism olives wonderful vaccine stop corona dead around world cant make vaccines bombed possible without peace created israel,fake
new cases covid reported lagos fct ogun gombe borno akwa ibom kwara plateau pm rd april confirmed cases covid reported nigeria discharged deaths takeresponsibility URL,real
hcps today pm et log coca facebook profile call coca call topic covid update infection prevention control recommendations learn event URL URL,real
proper way wear surgical mask blue side sick white side want infected virus,fake
image several bodies laying ground went viral social media claimed victims coronavirus ecuador,fake
completed days managed isolation negative covid test one able attend funeral tangihanga days managed isolation covid,real
video shows policeman taking bribe migrating workers surat,fake
work together ensure essential workers protected proven treatments like dexamethasone available need themUSER covid URL,real
health fact important friends advice another factcheck covid cure URL,fake
news lockdown lasted long children could put shoes twice URL URL,fake
covid update two new community cases covid new cases epidemiological link existing case associated bereavement events subcluster epidemiologically linked mt roskill evangelical fellowship group,real
smoke cremation spread coronavirus please burn dead,fake
second wave ppe shortage URL,real
yesterday laboratories completed tests seven day rolling daily average number tests total number tests completed new zealand date,real
sources confirm covid vaccine needs least clinical trials USER choosing patients amp eager complete august means URL URL,fake
drinking garlic water cure,fake
covid spread people animals close contact take steps keep pet safe covid URL URL,real
india covid vaccine clinical trials underway oxford universityastrazeneca covid vaccine collaboration serum institute india sii undergoing phase iii clinical trials britain brazil south africa amp india remaining two indigenous URL,real
russian cdc admitted covid humanmade,fake
latest cdc covidview report shows percentages people testing positive covid people making medical visits symptoms similar covid declining nationally since midjuly learn URL URL,real
pleased announce inclusion th lab national covid laboratory network everight diagnostic amp laboratory services imo state read latest guide integration private sector laboratories covid testing URL URL,real
myrtle beach south carolina reported new coronavirus cases hours,fake
garlic prevent coronavirus infection evidence protect people covid ask evidence believing forward ask evidence soon see whatsapp forward tell sender mainbhinewschecker coronavirusfacts URL,fake
us sees close coronavirus deaths day URL via USER,real
todays new case woman arrived dubai september related three cases reported yesterday today three people hospital covid one isolation ward auckland city hospital,real
gargling hot water cures coronavirus says doctor mumbais covid hospital,fake
hospitalized covid patients undergo mri URL,real
indiafightscorona rtpcr rapid antigen test rat capacities substantially scaled states everyday average l samples tested govt labs amp l pvt labs URL,real
covidnigeria situation report rd august published todays cumulative discharged cases includes recovered covid patients lagos state managed home read via URL takeresponsibility URL,real
people deceived high mortality rates italy caused new coronavirus,fake
local man assures shoppers definitely also hoarding toilet paper coronavirus URL covid ibs URL,fake
